season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,mp,obpm,orb_pct,ows,per,stl_pct,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48
2022,Omer Yurtseven,C,23,MIA,9,0,4.2,1.3,2.0,0.667,0.0,0.2,0.000,1.3,1.8,0.750,0.667,0.1,0.3,0.333,0.1,0.7,0.8,0.3,0.0,0.1,0.0,0.2,2.8,16.6,2.9,8.0,2.8,19.3,0.0,0.111,0.167,38,5.1,3.0,0.1,25.8,0.0,0.0,10.8,0.647,22.6,0.1,0.2,0.228
2022,Kessler Edwards,SF,21,BRK,2,0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.5,0.0,17.5,0.0,-4.4,6.4,0.0,0.0,,,7,-10.8,0.0,0.0,-2.2,7.3,100.0,0.0,,6.6,0.0,0.0,-0.104
2022,Draymond Green,PF,31,GSW,22,22,32.0,3.1,6.5,0.479,0.4,1.8,0.205,2.8,4.8,0.581,0.507,1.4,2.1,0.638,1.2,6.0,7.2,6.3,1.1,1.0,2.7,4.0,8.0,25.7,3.2,0.9,2.9,20.6,1.0,0.271,0.326,703,-2.0,4.3,0.4,12.3,1.8,26.4,12.7,0.534,14.0,0.5,1.4,0.094
2022,Danny Green,SF,34,PHI,12,12,26.6,3.0,7.4,0.404,2.6,6.3,0.408,0.4,1.1,0.385,0.579,0.0,0.1,0.000,0.8,2.3,3.1,0.8,1.0,0.3,1.1,1.9,8.6,4.9,1.2,1.3,0.9,10.3,0.3,0.854,0.011,319,0.4,3.6,0.0,9.9,2.0,12.7,7.1,0.576,15.1,0.3,0.3,0.049
2022,Devonte' Graham,PG,26,NOP,6,0,10.0,1.0,3.0,0.333,0.8,2.3,0.357,0.2,0.7,0.250,0.472,1.2,1.3,0.875,0.3,1.2,1.5,0.7,0.2,0.2,0.7,0.5,4.0,9.4,1.4,-1.1,-1.0,14.7,0.0,0.778,0.444,60,-0.2,3.7,0.1,11.5,0.9,15.7,8.9,0.558,18.3,0.0,0.1,0.049
2022,Aaron Gordon,PF,26,DEN,5,5,32.0,4.6,10.8,0.426,0.6,3.0,0.200,4.0,7.8,0.513,0.454,4.0,5.6,0.714,3.6,3.6,7.2,2.6,0.4,1.2,1.6,2.8,13.8,12.0,3.9,-1.3,-2.2,14.4,0.0,0.278,0.519,160,0.9,13.5,0.3,15.7,0.6,10.8,13.9,0.520,20.2,0.0,0.2,0.063
2022,Rudy Gobert,C,29,UTA,6,6,32.8,3.5,5.5,0.636,0.0,0.0,,3.5,5.5,0.636,0.636,5.0,7.3,0.682,3.5,9.7,13.2,0.5,0.2,1.0,1.3,3.2,12.0,2.4,3.8,2.3,0.1,34.1,0.2,0.000,1.333,197,2.2,12.5,0.6,19.4,0.3,13.3,23.3,0.688,14.3,0.2,0.7,0.182
2022,Danilo Gallinari,PF,33,ATL,5,3,22.4,3.6,9.0,0.400,0.8,3.0,0.267,2.8,6.0,0.467,0.444,2.2,2.2,1.000,0.4,3.8,4.2,0.8,0.2,0.0,1.0,1.2,10.2,6.4,0.0,-1.8,-1.3,20.9,0.0,0.333,0.244,112,-0.6,2.1,0.0,10.8,0.5,9.1,11.3,0.512,22.5,0.0,0.0,0.011
2022,Bryn Forbes,SG,28,DEN,5,0,15.2,1.2,3.0,0.400,0.8,2.2,0.364,0.4,0.8,0.500,0.533,0.8,1.0,0.800,0.2,0.4,0.6,1.4,0.2,0.0,0.4,1.4,4.0,12.4,0.0,-2.8,-1.9,3.4,-0.1,0.733,0.333,76,-0.8,1.6,0.1,7.8,0.7,10.4,2.4,0.581,11.0,0.0,0.0,0.028
2022,Malachi Flynn,PG,23,TOR,6,0,6.0,0.0,1.2,0.000,0.0,0.5,0.000,0.0,0.7,0.000,0.000,0.0,0.0,,0.3,0.2,0.5,0.5,0.2,0.0,0.2,1.0,0.0,10.6,0.0,-14.4,-2.9,3.8,0.0,0.429,0.000,36,-11.5,6.2,-0.1,-5.7,1.5,12.5,5.1,0.000,10.3,-0.1,-0.2,-0.219
2022,Malik Fitts,PF,24,BOS,9,0,1.8,0.3,0.4,0.750,0.2,0.2,1.000,0.1,0.2,0.500,1.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,8.3,1.5,13.6,0.0,0.500,0.000,16,6.9,0.0,0.1,20.2,0.0,0.0,7.0,1.000,11.3,0.0,0.1,0.201
2022,Dorian Finney-Smith,PF,28,DAL,18,18,38.2,4.1,8.7,0.471,2.6,6.0,0.426,1.6,2.7,0.571,0.618,0.9,1.3,0.708,1.8,3.7,5.5,1.9,0.9,0.4,1.0,2.9,11.7,7.8,0.9,1.0,0.5,11.6,0.3,0.688,0.153,688,0.5,5.4,1.2,12.6,1.3,9.7,8.5,0.630,12.8,0.5,1.5,0.106
2022,Joel Embiid,C,27,PHI,10,10,38.5,7.8,16.1,0.484,0.7,3.3,0.212,7.1,12.8,0.555,0.506,7.3,8.9,0.820,2.1,8.6,10.7,2.1,0.4,0.8,3.2,3.4,23.6,9.9,1.9,0.1,-1.0,26.2,0.4,0.205,0.553,385,1.1,7.0,0.5,19.1,0.5,13.8,17.0,0.590,28.4,0.2,0.9,0.117
2022,Anthony Edwards,SG,20,MIN,6,6,37.8,8.3,18.3,0.455,3.8,9.5,0.404,4.5,8.8,0.509,0.559,4.7,5.7,0.824,0.7,3.5,4.2,3.0,1.2,1.2,2.5,3.7,25.2,14.8,2.6,3.5,0.2,9.8,0.2,0.518,0.309,227,3.2,2.1,0.3,17.8,1.4,10.7,6.1,0.604,26.4,0.3,0.5,0.102
2022,Jae Crowder,PF,31,PHO,13,13,29.5,3.2,8.1,0.400,1.5,4.8,0.302,1.8,3.2,0.548,0.490,1.5,2.0,0.731,0.6,4.1,4.7,2.4,1.0,0.5,1.5,3.6,9.4,10.8,1.8,-0.9,1.4,16.0,0.2,0.600,0.248,383,-2.2,2.6,0.0,9.8,1.8,14.0,9.5,0.524,16.3,0.1,0.2,0.029
2022,Kevin Durant,PF,33,BRK,4,4,44.0,8.0,20.8,0.386,1.8,5.3,0.333,6.3,15.5,0.403,0.428,8.5,9.5,0.895,0.5,5.3,5.8,6.3,1.0,0.3,5.3,3.8,26.3,22.3,0.5,-2.9,-3.3,15.7,-0.1,0.253,0.458,176,0.4,1.5,0.0,13.6,1.2,17.4,8.5,0.526,31.5,0.0,-0.1,-0.026
2022,Andre Drummond,C,28,BRK,4,4,15.0,1.5,2.8,0.545,0.0,0.0,,1.5,2.8,0.545,0.545,0.8,1.3,0.600,0.8,2.3,3.0,0.8,1.3,0.8,1.5,3.0,3.8,7.0,4.8,-3.2,1.7,19.7,0.1,0.000,0.455,60,-4.9,6.5,-0.1,10.0,4.3,31.3,13.1,0.568,14.7,0.0,0.0,-0.012
2022,Goran Dragić,PG,35,BRK,4,0,19.8,4.5,8.0,0.563,1.0,3.0,0.333,3.5,5.0,0.700,0.625,0.5,0.5,1.000,1.5,3.0,4.5,1.5,0.8,0.0,1.3,2.8,10.5,12.9,0.0,1.1,-0.1,20.0,0.0,0.375,0.063,79,1.1,9.9,0.2,19.3,1.9,13.2,14.9,0.639,22.0,0.1,0.2,0.106
2022,Ayo Dosunmu,SG,22,CHI,5,1,17.2,1.6,5.2,0.308,0.6,2.6,0.231,1.0,2.6,0.385,0.365,0.2,0.2,1.000,0.8,1.8,2.6,2.2,0.2,0.0,0.6,1.0,4.0,19.2,0.0,-5.3,-1.4,11.4,0.1,0.500,0.038,86,-3.9,4.3,-0.1,6.0,0.6,10.2,7.6,0.378,15.0,-0.1,-0.1,-0.029
2022,Luka Dončić,PG,22,DAL,15,15,36.8,10.7,23.5,0.455,3.4,9.9,0.345,7.3,13.6,0.534,0.527,6.9,9.0,0.770,0.7,9.1,9.8,6.4,1.8,0.6,3.9,2.9,31.7,37.3,1.5,9.3,2.5,29.7,0.8,0.420,0.384,552,6.8,2.1,1.1,28.6,2.5,12.5,15.7,0.577,40.4,1.6,1.9,0.164
2022,Spencer Dinwiddie,SG,28,DAL,18,3,27.8,4.4,10.7,0.417,2.2,5.3,0.417,2.2,5.3,0.417,0.521,3.1,3.7,0.821,0.4,2.0,2.4,3.6,0.8,0.3,1.6,2.3,14.2,21.8,1.1,1.4,-0.5,8.6,0.2,0.500,0.349,501,1.8,1.9,0.8,16.6,1.6,11.6,5.2,0.576,23.7,0.4,1.1,0.101
2022,Gorgui Dieng,C,32,ATL,2,0,5.0,0.5,1.0,0.500,0.0,0.5,0.000,0.5,0.5,1.000,0.500,0.5,0.5,1.000,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,-1.3,-3.2,24.6,0.0,0.500,0.500,10,1.9,11.9,0.0,15.4,0.0,0.0,18.1,0.615,11.2,0.0,0.0,0.149
2022,DeMar DeRozan,PF,32,CHI,5,5,40.6,7.8,19.0,0.411,0.0,1.8,0.000,7.8,17.2,0.453,0.411,5.2,6.0,0.867,0.2,5.2,5.4,4.8,1.8,0.4,2.2,2.4,20.8,20.9,1.0,-0.8,0.5,14.0,0.3,0.095,0.316,203,-1.3,0.5,-0.2,13.4,2.1,9.2,6.7,0.481,25.7,0.1,0.1,0.019
2022,Dewayne Dedmon,C,32,MIA,14,0,9.9,1.5,3.2,0.467,0.1,0.7,0.100,1.4,2.5,0.571,0.478,0.7,0.9,0.833,1.1,1.9,3.0,0.4,0.1,0.2,0.5,2.6,3.8,5.7,2.4,-6.2,-0.4,23.9,0.2,0.222,0.267,138,-5.8,12.4,0.1,11.2,0.4,12.2,17.9,0.527,18.5,-0.1,0.3,0.104
2022,Stephen Curry,PG,33,GSW,22,18,34.7,9.2,20.0,0.459,4.1,10.4,0.397,5.0,9.6,0.526,0.563,4.9,5.9,0.829,0.5,4.7,5.2,5.9,1.3,0.4,2.6,2.7,27.4,28.3,1.1,7.7,1.1,14.9,0.9,0.520,0.293,764,6.7,1.7,2.4,24.4,1.9,10.3,8.4,0.606,31.8,1.9,3.2,0.203
2022,Seth Curry,SG,31,BRK,4,4,33.0,5.5,9.8,0.564,3.0,5.8,0.522,2.5,4.0,0.625,0.718,0.5,0.8,0.667,0.5,2.0,2.5,3.0,0.3,0.8,0.8,3.8,14.5,14.0,2.2,3.0,-1.0,8.0,-0.1,0.590,0.077,132,4.0,2.0,0.4,16.4,0.4,6.9,4.9,0.719,15.1,0.2,0.3,0.120
2022,JaMychal Green,PF,31,DEN,5,0,13.8,1.2,3.2,0.375,0.2,1.0,0.200,1.0,2.2,0.455,0.406,1.4,1.4,1.000,0.6,1.8,2.4,0.4,0.0,0.2,0.4,2.4,4.0,3.9,1.5,-7.1,-2.7,16.7,0.0,0.313,0.438,69,-4.4,5.2,0.1,6.7,0.0,9.5,10.8,0.524,13.3,-0.1,0.0,0.012
2022,Javonte Green,SF,28,CHI,5,1,14.4,0.6,3.4,0.176,0.0,1.2,0.000,0.6,2.2,0.273,0.176,0.2,0.4,0.500,1.6,1.4,3.0,0.4,1.8,0.0,0.8,1.6,1.4,3.9,0.0,-6.3,1.5,10.6,0.2,0.353,0.118,72,-7.8,10.3,-0.3,4.1,6.0,18.3,10.4,0.196,13.3,-0.1,-0.1,-0.075
2022,Jeff Green,PF,35,DEN,5,5,22.6,1.2,3.4,0.353,0.6,1.6,0.375,0.6,1.8,0.333,0.441,0.8,1.0,0.800,1.4,2.2,3.6,0.4,0.6,0.4,0.4,1.2,3.8,2.3,1.9,-3.3,-1.9,12.4,0.0,0.471,0.294,113,-1.4,7.4,0.1,7.6,1.3,9.4,9.9,0.495,8.2,0.0,0.0,0.012
2022,Josh Green,SG,21,DAL,16,0,7.6,0.5,1.8,0.286,0.3,1.4,0.227,0.2,0.4,0.500,0.375,0.1,0.5,0.250,0.1,0.7,0.8,0.4,0.3,0.0,0.0,1.0,1.4,8.4,0.0,-5.0,0.3,10.9,0.1,0.786,0.286,121,-5.3,1.0,-0.1,4.0,2.1,0.0,5.8,0.365,12.3,-0.1,-0.1,-0.021
2022,Isaiah Joe,SG,22,PHI,7,0,2.1,0.3,0.7,0.400,0.1,0.4,0.333,0.1,0.3,0.500,0.500,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.4,0.1,0.7,0.0,0.0,-15.0,-4.6,15.6,0.0,0.600,0.000,15,-10.4,0.0,-0.1,-4.6,0.0,37.5,8.2,0.500,25.1,0.0,-0.1,-0.289
2022,Jaren Jackson Jr.,PF,22,MEM,12,12,27.7,4.9,13.0,0.378,2.3,6.0,0.375,2.7,7.0,0.381,0.465,3.3,4.4,0.755,2.2,4.6,6.8,0.9,0.8,2.5,1.4,4.4,15.4,5.1,8.9,0.7,1.2,18.5,0.6,0.462,0.340,332,-0.4,7.8,0.2,15.9,1.3,8.7,12.9,0.516,24.2,0.2,0.8,0.111
2022,Kyrie Irving,PG,29,BRK,4,4,42.5,7.0,15.8,0.444,2.0,5.3,0.381,5.0,10.5,0.476,0.508,5.3,5.3,1.000,1.5,3.8,5.3,5.3,1.8,1.3,2.3,3.3,21.3,18.9,2.8,2.8,-0.7,11.6,0.0,0.333,0.333,170,3.4,4.6,0.4,19.2,2.1,11.1,8.1,0.588,21.9,0.2,0.4,0.115
2022,Brandon Ingram,SF,24,NOP,6,6,39.3,9.3,19.7,0.475,1.8,4.5,0.407,7.5,15.2,0.495,0.521,6.5,7.8,0.830,0.7,5.5,6.2,6.2,0.7,0.3,3.8,1.8,27.0,27.3,0.7,3.9,-0.5,17.7,0.0,0.229,0.398,236,4.5,1.9,0.6,21.3,0.9,14.2,9.3,0.584,29.5,0.4,0.6,0.120
2022,Andre Iguodala,SF,38,GSW,7,0,8.7,0.6,1.3,0.444,0.1,0.4,0.333,0.4,0.9,0.500,0.500,0.3,0.4,0.667,0.4,0.6,1.0,1.7,0.0,0.3,0.6,1.6,1.6,24.7,3.3,-2.2,0.5,7.2,0.0,0.333,0.333,61,-2.7,5.7,0.1,8.0,0.0,27.9,6.4,0.533,10.3,0.0,0.1,0.077
2022,Serge Ibaka,C,32,MIL,6,0,3.7,0.7,2.7,0.250,0.0,0.5,0.000,0.7,2.2,0.308,0.250,0.2,0.3,0.500,0.3,1.3,1.7,0.0,0.0,0.0,0.3,0.2,1.5,0.0,0.0,-21.1,-7.7,36.0,0.0,0.188,0.125,22,-13.3,9.7,-0.2,-3.9,0.0,10.6,23.3,0.267,37.2,-0.1,-0.2,-0.355
2022,Bones Hyland,SG,21,DEN,5,0,17.4,2.6,7.2,0.361,1.6,4.6,0.348,1.0,2.6,0.385,0.472,2.4,2.8,0.857,0.2,1.8,2.0,3.2,0.2,0.0,1.2,2.4,9.2,27.4,0.0,-1.1,-2.1,13.2,-0.1,0.639,0.389,87,0.9,1.4,0.2,13.6,0.6,12.5,7.1,0.546,24.1,0.0,0.1,0.058
2022,De'Andre Hunter,SF,24,ATL,5,5,35.0,7.8,14.0,0.557,2.4,5.2,0.462,5.4,8.8,0.614,0.643,3.2,4.0,0.800,0.4,3.4,3.8,0.6,0.8,0.2,2.2,4.0,21.2,3.5,0.6,2.9,0.8,12.0,0.1,0.371,0.286,175,2.1,1.4,0.3,16.8,1.2,12.2,6.6,0.673,23.6,0.2,0.4,0.108
2022,Kevin Huerter,SF,23,ATL,5,5,30.8,3.4,9.4,0.362,1.8,6.2,0.290,1.6,3.2,0.500,0.457,0.6,0.8,0.750,0.2,2.8,3.0,3.8,1.2,0.6,2.2,3.0,9.2,20.3,2.0,-0.8,1.1,11.2,0.1,0.660,0.085,154,-1.9,0.8,-0.2,7.7,2.0,18.4,5.9,0.472,17.9,0.0,-0.1,-0.017
2022,Danuel House Jr.,SF,28,UTA,6,0,18.7,1.5,3.7,0.409,0.3,1.7,0.200,1.2,2.0,0.583,0.455,1.0,1.3,0.750,0.3,2.5,2.8,0.7,0.0,0.2,1.0,1.2,4.3,5.5,1.1,-3.4,-0.7,15.5,0.0,0.455,0.364,112,-2.7,2.1,-0.1,5.2,0.0,19.0,8.8,0.509,13.2,0.0,-0.1,-0.027
2022,Al Horford,C,35,BOS,23,23,35.4,4.4,8.4,0.523,2.0,4.3,0.480,2.3,4.1,0.568,0.645,1.2,1.6,0.778,1.5,7.8,9.3,3.3,0.8,1.3,1.3,2.8,12.0,14.6,3.5,6.0,3.8,23.9,1.5,0.508,0.187,815,2.2,5.0,1.7,16.6,1.2,12.2,14.8,0.663,13.1,1.7,3.2,0.187
2022,Jrue Holiday,PG,31,MIL,12,12,38.6,7.4,19.6,0.379,2.1,6.6,0.316,5.3,13.0,0.410,0.432,2.2,2.6,0.839,1.0,4.6,5.6,6.5,1.8,0.6,2.8,2.3,19.1,27.6,1.5,1.6,0.7,11.8,1.0,0.336,0.132,463,0.9,2.8,-0.4,13.8,2.2,12.0,7.4,0.461,26.4,0.4,0.6,0.058
2022,Aaron Holiday,PG,25,PHO,6,0,3.3,1.3,2.3,0.571,0.8,1.2,0.714,0.5,1.2,0.429,0.750,0.0,0.2,0.000,0.5,0.0,0.5,1.5,0.5,0.2,0.0,0.2,3.5,98.4,4.9,49.5,14.2,0.0,0.0,0.500,0.071,20,35.3,18.4,0.3,63.8,7.7,0.0,8.9,0.727,33.2,0.3,0.3,0.819
2022,George Hill,PG,35,MIL,5,0,15.2,0.2,1.0,0.200,0.2,0.4,0.500,0.0,0.6,0.000,0.300,0.4,0.4,1.000,0.2,1.0,1.2,0.6,0.0,0.0,0.2,2.0,1.0,5.0,0.0,-8.0,-0.7,6.5,0.1,0.400,0.400,76,-7.3,1.4,0.0,0.5,0.0,14.5,4.0,0.425,3.9,-0.1,0.1,0.056
2022,Haywood Highsmith,SF,25,MIA,8,0,3.9,0.4,0.9,0.429,0.4,0.6,0.600,0.0,0.3,0.000,0.643,0.0,0.0,,0.3,0.4,0.6,0.4,0.0,0.0,0.4,0.3,1.1,13.9,0.0,0.4,0.6,11.8,0.0,0.714,0.000,31,-0.2,7.3,0.0,8.3,0.0,30.0,9.5,0.643,14.4,0.0,0.0,0.044
2022,Tyler Herro,SG,22,MIA,15,0,25.4,4.9,12.1,0.409,1.1,4.7,0.229,3.9,7.4,0.523,0.453,1.7,1.8,0.926,0.5,3.4,3.9,2.8,0.6,0.4,1.8,1.4,12.6,18.5,1.7,-1.0,-0.5,16.3,0.5,0.387,0.149,381,-0.5,2.1,-0.3,12.6,1.2,12.3,9.0,0.490,25.7,0.1,0.2,0.030
2022,Willy Hernangómez,C,27,NOP,1,0,2.0,1.0,4.0,0.250,0.0,1.0,0.000,1.0,3.0,0.333,0.250,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,-47.7,-34.4,0.0,0.0,0.250,0.000,2,-13.3,100.0,0.0,13.0,0.0,0.0,59.0,0.250,86.1,0.0,0.0,-0.383
2022,Juancho Hernangómez,PF,26,UTA,6,0,9.3,0.8,3.0,0.278,0.7,2.0,0.333,0.2,1.0,0.167,0.389,0.0,0.0,,0.3,1.7,2.0,0.8,0.3,0.0,0.3,0.7,2.3,14.0,0.0,0.4,0.9,20.7,0.0,0.667,0.000,56,-0.5,4.2,-0.1,7.3,1.9,10.0,12.5,0.389,16.7,0.0,0.0,-0.026
2022,Jaxson Hayes,C,21,NOP,6,6,13.8,2.3,4.2,0.560,0.0,0.5,0.000,2.3,3.7,0.636,0.560,1.2,1.8,0.636,0.7,1.8,2.5,0.2,0.0,0.3,0.7,1.8,5.8,1.9,2.1,-4.9,-1.9,16.7,0.0,0.120,0.440,83,-3.0,5.3,0.1,11.9,0.0,11.8,10.7,0.586,17.5,-0.1,0.1,0.044
2022,Sam Hauser,SF,24,BOS,7,0,2.1,0.1,0.6,0.250,0.1,0.4,0.333,0.0,0.1,0.000,0.375,0.3,0.3,1.000,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.7,19.1,0.0,1.9,0.4,7.3,0.0,0.750,0.500,15,1.5,0.0,0.0,11.4,0.0,0.0,3.8,0.512,14.6,0.0,0.0,0.135
2022,Tobias Harris,PF,29,PHI,12,12,38.8,6.8,13.5,0.500,1.8,4.8,0.386,4.9,8.8,0.562,0.568,1.6,1.8,0.864,0.8,6.8,7.6,2.9,1.1,0.8,1.5,2.9,16.9,13.0,2.0,3.0,1.4,20.4,0.5,0.352,0.136,466,1.6,2.8,0.7,16.2,1.5,9.5,12.0,0.591,19.1,0.6,1.2,0.122
2022,James Harden,PG,32,PHI,12,12,39.9,5.3,13.2,0.405,2.3,6.3,0.368,3.0,6.8,0.439,0.494,5.6,6.3,0.893,0.9,4.8,5.7,8.6,0.8,0.7,4.2,2.4,18.6,34.8,1.5,1.9,-0.6,13.9,0.4,0.481,0.475,479,2.5,3.0,0.7,16.8,1.0,20.7,8.7,0.584,23.7,0.5,1.1,0.112
2022,Blake Griffin,C,32,BRK,2,0,12.5,1.0,3.5,0.286,1.0,2.5,0.400,0.0,1.0,0.000,0.429,1.0,1.0,1.000,1.0,1.0,2.0,2.0,0.5,0.5,0.5,1.5,4.0,21.7,3.9,3.9,1.0,10.5,0.0,0.714,0.286,25,2.9,10.4,0.1,15.5,2.0,11.3,10.4,0.508,16.3,0.0,0.1,0.099
2022,Jarrett Culver,SG,22,MEM,3,0,7.3,1.0,3.3,0.300,0.0,0.7,0.000,1.0,2.7,0.375,0.300,0.3,0.7,0.500,0.7,1.7,2.3,0.3,0.7,0.0,0.7,1.3,2.3,6.6,0.0,-11.5,0.8,25.4,0.0,0.200,0.200,22,-12.4,9.1,-0.1,3.6,4.3,15.5,16.8,0.322,24.0,-0.1,-0.1,-0.111
2022,Torrey Craig,SF,31,PHO,9,0,7.7,0.9,2.4,0.364,0.3,1.1,0.300,0.6,1.3,0.417,0.432,0.1,0.2,0.500,0.6,1.1,1.7,0.6,0.4,0.2,0.4,0.7,2.2,9.8,2.8,0.3,1.4,16.7,0.1,0.455,0.091,69,-1.2,8.9,-0.1,10.7,3.0,14.9,12.9,0.437,17.9,0.0,0.0,0.000
2022,Jalen Johnson,PF,20,ATL,2,0,4.5,0.0,1.5,0.000,0.0,0.5,0.000,0.0,1.0,0.000,0.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-25.2,-8.3,0.0,0.0,0.333,0.000,9,-17.0,0.0,-0.1,-20.1,0.0,25.0,0.0,0.000,20.5,-0.1,-0.1,-0.545
2022,Dalano Banton,PG,22,TOR,4,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.8,1.5,0.500,0.5,0.0,0.5,0.3,0.3,0.0,0.3,0.0,1.8,23.4,0.0,21.4,4.6,0.0,0.0,0.000,3.000,8,16.8,28.1,0.1,46.9,6.6,17.7,15.4,0.754,32.7,0.0,0.1,0.373
2022,Bojan Bogdanović,PF,32,UTA,6,6,35.7,6.5,13.5,0.481,1.8,5.5,0.333,4.7,8.0,0.583,0.549,3.2,4.0,0.792,0.5,3.7,4.2,1.7,0.3,0.0,2.0,4.0,18.0,8.5,0.0,-0.5,-0.7,11.9,0.0,0.407,0.296,214,0.2,1.6,0.2,13.1,0.5,11.6,6.8,0.590,22.7,0.1,0.3,0.057
2022,Bogdan Bogdanović,SG,29,ATL,4,0,26.8,5.0,12.3,0.408,2.3,6.5,0.346,2.8,5.8,0.478,0.500,2.0,2.5,0.800,1.0,3.8,4.8,3.0,0.3,0.3,1.0,3.0,14.3,21.2,1.0,1.1,-0.5,17.3,0.0,0.531,0.204,107,1.6,4.4,0.2,15.6,0.5,7.0,10.7,0.534,24.7,0.1,0.2,0.090
2022,Nemanja Bjelica,C,33,GSW,15,0,10.0,1.2,2.3,0.529,0.2,0.5,0.375,1.0,1.7,0.577,0.574,0.3,0.5,0.571,0.4,1.7,2.1,1.1,0.3,0.1,0.5,1.4,2.9,15.3,1.3,-1.5,1.1,18.2,0.2,0.235,0.206,150,-2.6,4.6,0.2,11.4,1.3,15.9,11.6,0.580,12.9,0.0,0.3,0.107
2022,Bismack Biyombo,C,29,PHO,9,0,9.6,1.2,1.9,0.647,0.0,0.0,,1.2,1.9,0.647,0.647,0.3,0.7,0.500,0.9,1.2,2.1,0.6,0.1,0.2,0.7,1.4,2.8,8.0,2.3,-2.3,0.5,14.8,0.0,0.000,0.353,86,-2.8,11.4,0.1,11.4,0.6,23.4,13.1,0.636,13.7,0.0,0.1,0.054
2022,Khem Birch,C,29,TOR,6,4,10.5,1.3,2.7,0.500,0.3,0.7,0.500,1.0,2.0,0.500,0.563,0.0,0.0,,0.7,0.8,1.5,0.5,0.2,0.2,0.5,2.2,3.0,7.2,1.7,-5.2,-0.1,10.8,0.0,0.250,0.000,63,-5.1,7.1,0.0,8.1,0.8,15.8,8.8,0.563,14.0,0.0,0.0,0.003
2022,Patrick Beverley,PG,33,MIN,6,6,32.3,3.5,8.2,0.429,1.5,4.3,0.346,2.0,3.8,0.522,0.520,2.5,3.7,0.682,0.7,2.5,3.2,4.8,1.2,1.2,2.0,4.7,11.0,23.0,3.1,1.0,1.5,8.2,0.2,0.531,0.449,194,-0.5,2.4,0.2,11.5,1.7,17.0,5.4,0.562,15.6,0.1,0.3,0.076
2022,Dāvis Bertāns,PF,29,DAL,18,0,10.7,1.2,3.1,0.400,1.1,2.8,0.373,0.2,0.2,0.750,0.573,0.6,0.7,0.833,0.2,1.2,1.4,0.3,0.4,0.1,0.2,1.4,4.1,4.9,0.9,0.9,0.9,13.7,0.2,0.927,0.218,192,0.0,2.4,0.3,13.0,2.2,4.7,8.0,0.606,15.6,0.1,0.4,0.112
2022,Malik Beasley,SG,25,MIN,6,0,19.8,3.2,7.3,0.432,1.3,4.2,0.320,1.8,3.2,0.579,0.523,0.8,1.0,0.833,0.3,3.0,3.3,0.7,0.3,0.2,1.2,1.5,8.5,5.6,0.7,-2.6,-0.9,16.0,0.1,0.568,0.136,119,-1.7,2.0,-0.1,9.0,0.8,13.0,9.3,0.547,19.3,0.0,0.0,-0.001
2022,Charles Bassey,C,21,PHI,3,0,4.0,0.3,0.7,0.500,0.0,0.0,,0.3,0.7,0.500,0.500,0.0,0.3,0.000,0.3,1.3,1.7,0.3,0.0,0.3,0.0,0.3,0.7,12.5,7.7,1.8,1.6,39.0,0.0,0.000,0.500,12,0.2,10.7,0.0,14.6,0.0,0.0,25.5,0.410,9.6,0.0,0.0,0.130
2022,Will Barton,SG,31,DEN,5,5,34.4,5.4,13.2,0.409,2.2,5.6,0.393,3.2,7.6,0.421,0.492,0.8,1.2,0.667,1.0,4.6,5.6,2.8,0.8,0.2,2.0,2.2,13.8,12.3,0.6,-2.8,-2.3,17.1,-0.1,0.424,0.091,172,-0.5,3.5,0.0,9.9,1.2,12.7,10.1,0.503,19.9,0.0,-0.1,-0.027
2022,Scottie Barnes,PF,20,TOR,4,3,33.3,4.5,10.5,0.429,0.5,3.0,0.167,4.0,7.5,0.533,0.452,3.3,4.0,0.813,1.8,7.3,9.0,4.3,1.0,0.3,1.3,3.0,12.8,19.7,0.8,1.7,1.0,29.7,0.0,0.286,0.381,133,0.7,5.9,0.2,16.8,1.6,9.3,16.7,0.520,18.9,0.1,0.2,0.082
